,text,sentiment
52,"I like it ,it's money well spent. I will recommend it .",POSITIVE
53,The tablet is Excellent! Very fast and well worth the money! The display is great!,POSITIVE
54,This tablet is fantastic for the price. It's as good or better than my first fire. The only differences are this one has only 8 gb's of storage but has front and rear cameras. It runs as fast as the other and the resolution is as good.,POSITIVE
55,"Like the function as a Prime member - easy access to prime movies, books, etc.Its a tad slow - and every time you turn it on or unlock theres an Ad. Oh well",MIXED
56,Great and inexpensive tablet which meets all my needs and expectations.,POSITIVE
57,Great gift idea. Nice addition to the kindle family.,POSITIVE
58,"I had been holding out for an iPad mini, but when I took a look at this tablet, it became clear that the iPad was a waste of money. I am really happy with this tablet.",POSITIVE
59,This device has been an amazing addition to my entertainment system,POSITIVE
60,Great product. Great for the beach or reading at anytime anywhere,POSITIVE
61,echo did as i expected sounds ok just have to be carfull of the name you end up calling,MIXED
62,I got it for my brother and he loved it! He loved how small the box is and how it doesn't take to much space.,POSITIVE
63,This is a great tablet for children lots of great options to regulate what content that is available to the children.,POSITIVE
64,"I purchased the Fire Tablet to temporarily replace an iPad and an LG tablet that were destroyed. My 7-year-old won't put it down--he can play all his favorite games, read Kindle books, and watch YouTube videos (as long as he has wi-fi access). It's holding up well. Good price.",POSITIVE
65,good tablet for my purpose. using when wanting to look up things when not at computer,POSITIVE
66,got this for my nieces aged 6-13 they loved it and so did their parents really keeps them occupied,POSITIVE
67,"The first tablet I bought was good at first until it stops charging. I went to best buy to check it and they said that everything is okay. We tried it again at home and it was the same thing, it charged for a few min until probably 2% and will stop. I brought it back to the store and they replace it with a new one. So far I don't have problem with it as well as the other 2 tablets that I bought together with the first tablet.",MIXED
68,This is convenient and easy to operate. Love the shopping list - adding to the list without physically moving ---- and NO paper list to lose!!,POSITIVE
69,"bought for my friends, but good enough! why need so many comments?",POSITIVE
70,It's nice but there are too many specific lines to remember to get her to talk to you. Also your family gmail calendar does NOT connect if on iCloud with iPhones so she will not know your families calendar. Needs updates and she should be able to answer you by a question and not a specific way you must say things with the skills,MIXED
71,I use it for audiobooks a lot of the time . It has a good clear sound. Very easy to download books from the library .The battery seems to last a reasonable amount of time.,POSITIVE
72,I was not expecting too much but was pleasantly surprised by both the speed and ease of use.,POSITIVE
73,Tablet is very good. I have a lot of apps and pretty much do my homework there,POSITIVE
74,Amazon did a fantastic job. I gave it to my father as a Christmas gift and he loves it.,POSITIVE
75,my husband purchased a Fire tablet for me for my birthday I liked it so much I purchased one for him for a Christmas gift,POSITIVE
76,I would be happy to give it as Christmas gifts to many of the people I know. I love the size of the screen. A charge last and the Bluetooth sinks well with the wireless keyboard. It's almost as good as I IPad.,POSITIVE
77,"Now I will admit I am a tech gal. I did do some investigations before buying. I was not dissapointed at all. This is like your own personal assistant. It does exactly what it is supposed to do, spell,set alarm,check weather,traffic,news update,even tells jokes. I love the fact that anyone can talk to it and it will still work. My family and friends have pure entertainment with this neat gadget. I look forward to seeing more things added to the commands. Also was super easy to set up and the volume is way better than expected.",POSITIVE
78,I love having all of my streaming videos in one place and log on his single remote!,POSITIVE
79,It's like talking to siri but getting an answer. Real easy to set up and much better with amazon prime.,POSITIVE
80,great to use very easy to use for teens and greatprice,POSITIVE
81,The Amazon Echo is nothing short of amazing. A must have for anyone that listens to a lot of music and wants the ease of selecting songs!,POSITIVE
82,You get what you pay for. No complains............,POSITIVE
83,"OK its not an iPad, but it is a very good tablet for less than 100 dollars.My only complaint is that it don't have a true GPS chip and relies on your WiFi reported location for apps and therefore some apps cannot be loaded on this device that rely on a true GPS. But it is a great travel tablet and with an SD card you can download your Amazon or other content and watch offline. A great travel tablet!",MIXED
84,"I bought this item for my granddaughter for her birthday,, she really liked it..",POSITIVE
85,Great for reading in sunlight. Lightweight and battery lasts a long time!,POSITIVE
86,This is what I wanted. Easy to use. Can read outdoors or indoors. Easy to add books that I purchase. I would recommend to anyone looking for a similar devise.,POSITIVE
87,"This was a gift to my husband. It's the only e-reader that can be read in sunlight and since we were going to Hawaii, I thought it'd be nice for him not to have to lug along a bunch of books (I already had my Kindle).",POSITIVE
88,"I'm not very electronic savvy but with a little help Alexa is helpful, funny, fun and smart!",POSITIVE
89,I bought this for my 7 year old son & he loves it!,POSITIVE
90,You need to find the correct way to ask questions or you will not get good answers. Otherwise I like this item,MIXED
91,I had just about every android box out there and this is my favorite. I hate the fire stick but love this.if you want something that works great get this.,POSITIVE
92,"I bought 2 and am returning them both. Both had lighting issues. On the first one, one half of the screen had a white/blue tint and the other half was more of a yellow tint. When i flipped the device upside down to rotate to use with my other hand, half of the screen went much darker than the other. I returned it because I had read there were some that had lighting issues and bought another one. My second one was worse. You could see little half moons going down one side. That one also had a much yellower tint overall than the first one.I found it not easy to hold unless it was in the charging case. It was too slippery and, weird to say, small for me. I'm a female with average sized hands.I think what I really did love was the charging case and the size for transport purposes. Maybe when they make a few tweaks and lower the price I might try again.",NEGATIVE
93,A great buy for the money. Very easy to set up and use. I recommend to anyone looking for a small tablet.,POSITIVE
94,Easy to use. Lightweight and just right for a child. Screen provides great pics and connects easily to internet. Great buy!,POSITIVE
95,"excellent gift, ok sound, great portability, would buy again",POSITIVE
96,"There were many questions unanswered, I think apple Siri is better.",NEGATIVE
97,I got the Fire TV so that I can watch Directv Now. It works really well and is right up there with the Roku Premiere + that I also own.,POSITIVE
98,My eight year old granddaughter loves it. Did research and the best deal was at best buy.,POSITIVE
99,Bought this for my friend. Very happy with this and asked for another one for his friend :),POSITIVE
100,"This replaced my old Kindle Fire. I have not yet explored all of the features but, so far, it is performing very well. Tablet is a good size and weight, and easy to use.",POSITIVE
101,This is a Very nice option to get to my favorite content. I used audio receiver for simple connection to TV and additional audio options. The push button voice interface works as well as my Echo. As a Prime member content is plentiful and broad enough for my entertainment.,POSITIVE
102,"I am a Flight Attendant and I love this small sleek book!!!! It is a must have. The only thing I would change is, I would add audio",POSITIVE
103,seriously.... it's great and you should have one!!,POSITIVE
104,I bought it for a friend on christmas she love it. Very easy to use,POSITIVE
105,Easy to use and fun. It's become a part of the family routine.,POSITIVE
106,"Not as good as Roku but still a good product. Started using it and kind of liking it. For $70 bucks, I think it is a good price and product",MIXED
107,This is an upgrade we purchased for Mom. She was able to use it with no problem. Alot like her previous Kindle,POSITIVE
108,We bought this for our kids when we were traveling to the Caribbean on vacation. This was the perfect lifesaver as we were able to load up with lots of apps to keep them occupied.,POSITIVE
109,This is a great light weight android tablet. It works well for most things that I wanted to use it for. I wanted to see if it would work for board packets but decided that the form factor is too small. As a reader and light weight table it works great. At this price it is a great buy.,POSITIVE
110,I would recommend this for anyone. Real happy with it.,POSITIVE
111,THIS ITEMS IS READING USING IT FOR READING AND LITE SURFING,POSITIVE
112,Love all the apps available more than any other streaming Device by far with 4K content .,POSITIVE
113,I love my kindle fire. Its a great reading device.,POSITIVE
114,Battery dies after an hour...should last longer for the money. Will not bold charge.,NEGATIVE
115,I'm really impressed by the amount of expansion you can put in with a micro SD card for extra storage .,POSITIVE
116,The wife loves this and uses it all the time! She would definitely recommend this for any amazon user!,POSITIVE
117,Love this product. Been thinking about purchasing this for quite a while and very happy I finally did,POSITIVE
118,"I purchased the kindle fire because I needed a entertainment only device for long flights. This device is the perfect size for travel and easy to use and set up with your Amazon account. It is worth purchasing a Fire tablet if you are an Amazon Prime member. If not, I would not recommend it because the available apps are limited . My only complaint about this device is that if it freezes it is difficult to reset.",MIXED
119,"Love the amount of apps on this thing. Love that I can watch anything with Bluetooth headset while I'm cleaning. I love the speak to commend. However, I wish you can request more than one route for traffic reports. My husband and I travel to different locations everyday.",MIXED
120,Light to carry and good picture quality. This was purchased for a hearing impaired person to download video in American Sign Language . This product was easy to maneuver for someone that was not use to a tablet.,POSITIVE
121,Lots of options and features. Can be used anywhere.,POSITIVE
122,I havent played it at all but my son enjoys playing with his. Thats what it was meant for so I cant complain.,POSITIVE
123,"She understand almost everything, she is quickly to respond and you can actually synchronize your fire stick with it as well",POSITIVE
124,Great tablet for the price. It's very easy to use.,POSITIVE
125,My child loves it workes flawlessly and does everything she like to do,POSITIVE
126,It is a nice little tablet for on the go or for kids. Wouldn't recommend using it for work,MIXED
127,"With a little tweaking you can install Playstore without rooting. It's a great tablet, excellent color, fast, and battery lasts a very long time.",POSITIVE
128,"this should have been with the reader ,",NEGATIVE
129,I am very satisfly with product and service provide,POSITIVE
130,The camera was very clean and being able to use the child user option is fantastic for toddlers.,POSITIVE
131,"I like the Echo for the intelligence that Alexa brings. I wish it had sound quality that matched that of my Sonos or rather the Sonos had the smarts of the Echo. Either way, I don't regret buying the device.",MIXED
132,"I love this thing. It gets used all the time in our house. It is so versatile and has so many possible connections. Only thing is, be prepared to spend more money on other things to pair with it.",POSITIVE
133,I love the Amazon Tap. The sound is great and it's completely portable. It lacks the convenience of touch free voice command but it cost less to compensate. Excellent product for the money!,POSITIVE
134,"Amazon did it again, Alexa is awesome and controls my lights, music, can ask her questions and works great with IFTT",POSITIVE
135,It was a gift for my grandson . It is a great gift idea at a good price,POSITIVE
136,My wife might leave me for Alexa. Thank goodness she can't open jars.,NEGATIVE
137,The kindle fire is such a great tablet with alot of different apps and so easy to use.,POSITIVE
138,Perfect to watch anything I need small and to the point,POSITIVE
139,The kids have really enjoyed playing on their new tablets!,POSITIVE
140,My 3 year old grand child is loving this tablet. She is really catching on to using technology . She loves this and plays a lot of educational things that was available to her.,POSITIVE
141,This box is probably one of the best things that I've ever purchased!,POSITIVE
142,i love the music offered through amazon . say the song and she plays it for you. say good morning and she gives you history of the day.,POSITIVE
143,We purchased our 2nd Amazon Echo for another part of the house because we like it so much. We can play all of our music and radio subscriptions. Plus there's a lot more.,POSITIVE
144,"Kindle makes reading easy, lightweight and the light makes reading much easier in low or no light.",POSITIVE
145,I bought it as a gift for a business party. I did read the reviews before I bought it and figured I couldn't go wrong. I know it was fought over during the gift exchange!,POSITIVE
146,"I still haven't used the camera, once I figure it out I will use it. I love the features on it. I use it for facebook mostly & emails. I also play some of the games on facebook.",POSITIVE
147,We're really enjoying it. The price was right. Great 4 a beginner,POSITIVE
148,Very happy with this purchase which replaced a 3rd generation unit. Much easier on the eyes and very responsive to the touch. Takes a little to get used of the page foward/backward on this device but no big deal. The Reviews on Best Buy site were very instrumental in making this purchase.,POSITIVE
149,"It replaces my 6"" Fire Kindle. Love the HD quality.",POSITIVE
150,"did not power up...at all. I am so happy that my grand-niece wasn't here and doesn't know about this yet, she would have been crying.",MIXED
151,I baught the amazon echo after researching the different smart speakers out in the market. It is able to control my Sony 4k TV with just voice commands and it's great to be able to listen to pandora just by asking Alexa.,POSITIVE
152,Lots and lots of channel to watch. better viewing and entertaining to use.,POSITIVE
153,"Got more than I expected. Got it as a device which replaced my cable box. Subscribed to PS Vue service, works very well. Cut my cable bill from 80 odd to 29. This little device is very snappy. Has much more apps than the Nexus player. With Netflix, Amazon prime movies , Kodi and NBC Sports : that pretty much covers 99% of the content which I would watch.",POSITIVE
154,Bought it for my nephew for an upgrade and he enjoyed it more.,POSITIVE
155,"I was not told I had to belong to Amazon. Could not get it to work with my Router. I had been wanting this Tablet for some time and finally decided to purchase it. I am heart sick to have to return it. At one time working with the a general Manager by the name of Brenda on my problems, she was highly disrespectful , embarrassing to me I front of other customers and very rude. Representing Best Buy to the people who actually pay her salary and taking all into account, I would fire her in a heart beat. I understand from other employees she is like this quite often. If you can't fire her maybe taking her off the floor where she has to deal with the public and putting her behind the scenes would benefit Best Buy more than you know. 01-16-2017. Thank you.",NEGATIVE
156,"I love it ! I use it every day for music, movies, and current events. The voice command remote is awesome. Cant wait to buy the video game controller for it to play first Gen. Nintendo games",POSITIVE
157,have owned 2 kindles this is far the best. no light required. simple to use,POSITIVE
158,Great family streaming eliminate cable all together.,POSITIVE
159,"easy to use, easy to love. extremely user friendly. Beats the nook I had by a 1000%. the battery life is outstanding",POSITIVE
160,I liked the amazon stick so much I upgraded to an amazon fire. I'm very happy with the purchase.,POSITIVE
161,The Kindle Voyage is definitely the way to go. I bought this Kindle to replace my 1st generation Kindle because I wanted a more compact model and the 3G capability this one offers. I am definitely a fan!,POSITIVE
162,We are very happy with this tablet the ability to expand the memory is awesome,POSITIVE
163,Great Deal for An Entry Amazon tablet. Unbeatable entry level tablet for use in the Amazon eco system.,POSITIVE
164,"I have been reading on a paperwhite for a few years now. When it got damaged I just went right out and bought another. It's light, easy to see without my reading glasses, since I can change the font, and it's great for reading outside, even in full sun. It's worth every penny.",POSITIVE
165,"Used for reading and surfing the web, this tablet is great for all. Great screen clarity.",POSITIVE
166,Wonderful products and works for exactly what I need it to work for,POSITIVE
167,"This product is ok, wasn't too impressed with the commercial was defiantly more interesting",MIXED
168,This will be our second FireTV and we love these!!,POSITIVE
169,We bought 3 of these both our sons and our granddaughter LOVE then easy to operate so far no glitches sturdy and not so expensive I have to worry about the kids breaking them and not being able to replace,POSITIVE
170,It's a great tool for family entertainment. Lots of things to explore.,POSITIVE
171,I bought this for my daughter who has Down's Syndrome. It was an inexpensive first time tablet for her. She absolutely loves it and is always watching her shows and videos. It is easy for her to navigate and understand.,POSITIVE
172,Bought these for my 3 college students. They love them,POSITIVE
173,The reason I bought this model kindle was for the backlight to read at night. The internet connectivity is great too. I've been reading a Russian history book and use the dictionary and Wikipedia lookup often to look up people and places with ease.,POSITIVE
174,We are unable to connect WIFI on this product. We have tried to follow the instructions to no avail. It is a useless and expensive item sitting on our table.,NEGATIVE
175,If you're looking for an android alternative to a Windows-based desktop this makes a great option,POSITIVE
176,Still learning with her. Speakers are outstanding and footprint on kitchen counter is small. Like it a lot.,POSITIVE
177,This item is great if you have prime. I really enjoy it. I even bought my parents one. If you don't have prime. Get the Google home.,POSITIVE
178,"I bought this tablet as a gift for my mother-in-law, who is not very tech-savvy. She already owns a laptop, but was interested in getting a tablet to use while watching TV, rather than a whole laptop. She also travels around quite a bit, so having something light she could take with her was a big plus. I've owned a couple Amazon tablets before, so I had an idea of how they worked, and I wanted something at a low price point, so I decided on this. So far, she loves it! A couple of important points:-The low price point comes at the cost of hardware. After using my Fire HDX, this tablet felt just a little slow, but not excessively so. It performed better in basic tasks (loading apps, web browsing, etc) than I expected based on my experiences with other tablets at similar price points.-As an Amazon tablet, this runs a modified version of Android, but does NOT have baked-in access to Google services (including the Google Play Store). You will be restricted to Amazon-approved apps, unless you sideload apps on your own, or are able to get access to Google services yourself. Popular apps like Netflix, Skype, and Facebook are all present, but the selection pales in comparison to native Android.",POSITIVE
179,Great great great great great great great great tablet.,POSITIVE
180,Just got this for Christmas so I haven't got to use it a lot. Can't wait to learn more about it and use it more.,POSITIVE
181,"Finding new uses everyday. It's connected to my Nest thermostat, Harmony remote and Hue lights (yup, I'm a geek). Alexa even entertains my macaw with blues while I'm at work.",POSITIVE
182,"I've always used e-readers. The Kindle Paper White is extremely light weight, easy to use and wonderful for night reading when your partner is trying to sleep. I have a specific eye problem with one of my eyes and find I have to read large print books and they can be difficult to find. The Kindle allows me to read EVERYTHING! I love it. And it is great indoors or out.",POSITIVE
183,I have about every single streaming player on the market. This one is not better or worse than the others. I got it only for using 3rd party apps. For that it works flawlessly! If you need a streaming device this one will fit the bill.,POSITIVE
184,Ordering from Amazon is now easier than ever. Don't be scared by the recent news hype.,POSITIVE
185,"Started with appleTV. Traded those in for Roku, wasn't happy and switched to Amazon Fire Tv. Couldn't be happier.",NEGATIVE
186,Got this for my wife for Christmas I think she will love it great value for price,POSITIVE
187,This is my first kindle and I love it. Would highly recommend,POSITIVE
188,"I got this to replace my original Kindle just to read ebooks, thinking the back light would be a nice feature. I really didn't think I would use the other features but I have found that I really like being able to check my email & surf the web without lugging my laptop around. My wife has a more expensive tablet but my Fire does everything hers does. I love it!!",POSITIVE
189,Everyone of my siblings & my parents have 1 & we all love it!,POSITIVE
190,"I'm enjoying the longer battery life, faster processing and most of all the ability to expand the memory. Highly Recommended!",POSITIVE
191,We use this speaker all the time. It's perfect. I would buy this time and time again.,POSITIVE
192,Perfect size for on the go. Some apps aren't compatible due to it being an Amazon tablet vs Android. But an overall good purchase.,MIXED
193,WE NEVER PUT THEM DOWN...HAVE LOTS OF GREAT GAMES TO PLAY,NEGATIVE
194,Great tablet for kids of any age. It's cheap and user friendly. You can even set controls so there is an age timer as well. It's perfect!,POSITIVE
195,Great gift for any age. Parentallocks awesome. Expandable sd slot too,POSITIVE
196,"Great tablet for the price, I would definitely recommend the higher gigabyte as it downloads quickly and doesn't take time to upload.",POSITIVE
197,I love my Amazon FireTV. Very easy to hook up! Very user friendly!,POSITIVE
198,Picked this up for my 7 year old and he picked it up faster than i did.,POSITIVE
199,One of the important reasons I purchased this was for HBO Go app which they have but does not work with Charter-Comcast. A quite large market of People affected so a useless claim they readily put out there that you can play it. What else can you not use it for I haven't found yet but Amazon has not written me back after I emailed them about this issue. Im stuck with waste of Money and will go get a Google Chrome now.,NEGATIVE
200,The product works well. Great price for the capabilities it offers.,POSITIVE
201,"Works good, easy for my kids, but wish the regular Android apps all worked.",MIXED
202,"After dropping my Kindle with a keyboard (not techie enough to know which generation it was) I did plenty of research before getting my next Kindle.I wanted a dedicated ebook as I don't want distractions when I read. Let's make this simple:I have read in sunlight and there have been no problems with glare.The automatic light makes it great for night reading.It took a while to get used to the buttons, but after my last Kindle, this was a feature I really wanted. I like them.I have read only three books on the Kindle so far and I still haven't mastered the touch of getting it to do what I want when I want. I am fighting it to highlight, and tap like a madman to change between page number and time left in the chapter/book (which are features I love).Excellent reader. I would purchase again, but I can't say with any honesty that the extra $100 was worth it over the Paperwhite, but I have no experience with that model either. I do like this more than my last Kindle, so that is all that really matters.",POSITIVE
203,Love this! Always messing around and asking it questions,POSITIVE
204,"I bought both the dot and full sized echo, this has incredible sound! It is also very handy for checking the weather/morning commute and using it in the kitchen (timers, recipes, etc)",POSITIVE
205,The echo is a great gadget we use it all the time one of the best purchases we made from amazon,POSITIVE
206,Love the size and it capabilities! Was a great gift for my daughter!,POSITIVE
207,"I own two Nook tablets, another Kindle and a Samsung and this is the best one yet. Excellent battery life. Lets me check emails the Web and with Kindle. books can be switched from reads to listens. Also works better than the Nook with audiobooks.",POSITIVE
208,I needed a good tablet for my niece and my nephew.,NEUTRAL
209,I bought this product as a door prize for a party and it was well received,POSITIVE
210,"Light weight, great upgrades from the paperwhite. Love it!",POSITIVE
211,We recently bought all our grandkids a tablet to have of their own.. great tablet to play games on and educational things as well.,POSITIVE
212,Very satisfied with the size and performance and a great deal,POSITIVE
213,I have been a Kindle reader for years now but this is the first device I have used with a backlight and I have to say the eye strain is lower and the reading experience better than ever. For a pure reading device I do not know how it could be better other than lowering the price tag.,POSITIVE
214,I liked the tablet I bought its amazing works just fine thank u best buy,POSITIVE
215,We got one of these for my mother in law. She mostly plays games and looks at things online. The tablet is good for a minimal browsing and games...not for expert use.,POSITIVE
216,Works great! Just the right size. Would recommend to family and friends.,POSITIVE
217,Great buy for my 7yr old cheap so if it ends up broken for any reason I can replace it easily.,POSITIVE
218,i really enjoy this product the costumer service was great on helping me pick the right item and explain it to me well i cont to have great experience at best buy.,POSITIVE
219,I like the fire tv better than the firestick because the connecting the ethernet cable helps with buffering,POSITIVE
220,interface isnt as user friendly as other brands but u get used to it.,MIXED
221,"I never had a legitimate reason for owning a tablet. I prefer watching shows and movies on my TV and I prefer reading actual books as opposed to a tablet. However, when I learned that Best Buy was selling this Amazon tablet for $34.99 on Black Friday, I knew that I had to get my hands on one. Even with the aforementioned reasons for not getting one, I couldn't argue with that price. I think it's a great starter tablet. It may not have the largest screen or HD quality but then again I don't need all of that. The quality and size of the screen are perfect for that price. 8GB may not be a lot of memory but there is also an option to get more storage via a memory card. I very much satisfied and recommend this tablet to anybody, especially those who are curious about tablets and haven't purchased on yet.",POSITIVE
222,The Kindle is amazing. This is my second one. The price was misleading however as I had to pay something like another extra 30 bucks to get rid of the ads. Just know that,MIXED
223,I love all of them. I would recommend going to Best Buy and buying a kindle fire before they are sold out!,POSITIVE
224,"Great for surfing the web, books, You Tube and email so far. Love the size too .",POSITIVE
225,"I picked up this tablet, stacking some discounts and codes while on sale for $33 delivered.",NEUTRAL
226,"It's small, light and easily portable. Powerful enough for all your basic tablet needs like streaming, reading, light gaming and Internet browsing. Perfect for a child's first tablet or on-the-go use.",POSITIVE
227,"The Fire TV is easy to hookup and easy to use. Lots of apps. Alexa is fun and useful for programming questions, weather and controlling some of my smart home lights. The request would be to control TV volume on the remote.",POSITIVE
228,Got it for my daughters birthday. We all enjoyed the echo. Thinking of getting another for myself.,POSITIVE
229,Great product for a great price. Would highly recommend,POSITIVE
230,This works as described and Am very happy with it.,POSITIVE
231,everyday this thing gets better! Great speaker quality and sound. The ever growing list of commands and functions ensure lagging interest and usability!,POSITIVE
232,Great product... very reliable under various conditions garage/shed etc.,POSITIVE
233,"I bought this for my son (he's 1.5 years old) so he could play basic toddler games, but I found the tablet to be extremely useful for school with it's large screen and super long battery life. I'm waiting for the Surface Pro 5 but this tablet that I got for so cheap is making me second guess paying so much! For basic lecture taking notes and watching Netflix or Hulu and kid games, this can't be beat.",POSITIVE
234,Great product. Purchased for my wife to replace her fire hd. She loves the screen and the fact that it fits in her pocketbook.,POSITIVE
235,"Christmas present for husband,we both love the echo can't wait to download apps",POSITIVE
236,We bought this to download movies and books onto for a long plane ride. It worked great! Very happy with the purchase.,POSITIVE
